"event number",name,description,date,city,state,url,pdf,permits,champs,competitions
2963,"Emerald Mountain Epic (8/6-7)",,08/06/2022,"Steamboat Springs",CO,,,,N,
2924,"P2P Mid-Week Series @ CSP #10",,08/10/2022,Golden,CO,,,,N,
2937,"The Broadmoor Cycle to the Summit",,08/13/2022,Cascade,CO,,,,N,
2938,"The Broadmoor Cycle to the Summit Gran Fondo",,08/13/2022,Cascade,CO,,,,N,
2925,"P2P Mid-Week Series @ CSP #11",,08/17/2022,Golden,CO,,,,N,
2965,"Triple Bypass",,08/20/2022,Evergreen,CO,,,,N,
2926,"P2P Mid-Week Series @ CSP #12",,08/24/2022,Golden,CO,,,,N,
2966,"Venus De Miles",,08/27/2022,,,,,,N,
2967,"Lake City Alpine 50",,08/27/2022,,,,,,N,
2968,"Gran Fondo Golden",,08/28/2022,,,,,,N,
2969,"Strada Bianchi",,08/28/2022,Nederland,CO,,,,N,
2981,"USAC Collegiate Track National Championships  (9/8-11)",,09/08/2022,Indianapolis,IN,,,,N,
2970,"Gunni Grinder",,09/10/2022,,,,,,N,
2971,"Tour of the Moon",,09/10/2022,"Grand Junction",CO,,,,N,
2972,"Tour of the Vineyards",,09/17/2022,Palisade,CO,,,,N,
2973,"Pikes PEAK APEX presented by Rock Hox (9/22-25)",,09/22/2022,"Colorado Springs",CO,,,,N,
2974,"The Crippler",,09/24/2022,"Canon City",CO,,,,N,
2975,"Beti Bike Bash",,10/02/2022,Lakewood,,,,,N,
2982,"USAC Collegiate MTB National Championships  (10/13-16)",,10/13/2022,Durango,CO,,,,N,
2983,"USAC Madison Track National Championships  (11/10-13)",,11/10/2022,Durango,CO,,,,N,
